Year,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea
1945,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0
1958,0,2,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0
1960,49,12,4,0,0,0,0,0
1961,1,13,6,0,0,0,0,0
1962,0,0,0,0,0,0,0,0
1963,0,13,4,0,0,0,0,0
1964,0,0,0,0,0,0,0,0
1965,0,3,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0
1967,0,5,0,0,0,0,0,0
1968,0,1,0,0,0,0,0,0
1969,0,5,0,0,0,0,0,0
1970,0,4,0,0,0,0,0,0
1971,0,1,0,0,0,0,0,0
1972,0,1,0,0,0,0,0,0
1973,0,2,0,0,0,0,0,0
1974,0,1,0,0,0,0,0,0
1975,0,2,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0
1977,0,4,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0
1979,0,1,0,0,0,0,0,0
1980,0,1,0,0,0,0,0,0
1981,0,2,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0
1983,0,4,0,0,0,0,0,0
1984,0,2,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0
1987,0,4,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0
1989,0,2,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0
1993,0,0,0,0,1,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,1,0,0,1,0,0,0
1996,0,0,0,0,0,0,0,0
1997,2,0,0,0,0,0,0,0
1998,3,5,0,0,0,0,0,0
1999,3,7,0,0,1,0,0,0
2000,5,5,0,0,0,0,0,0
2001,2,0,0,0,4,0,0,0
2002,3,0,1,0,0,0,0,0
2003,2,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,1,0,1,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0
