time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-21T17:54:27.960Z,19.211834,-155.4559937,34.07,2.23,ml,57,111,0.05451,0.11,hv,hv71245656,2019-11-21T18:00:24.860Z,"2km ENE of Pahala, Hawaii",earthquake,0.46,0.56,3.63,18,automatic,hv,hv
2019-11-21T17:51:54.050Z,40.2931671,-124.7111664,18.16,2.63,md,18,256,0.282,0.16,nc,nc73307086,2019-11-21T17:56:02.749Z,"36km W of Petrolia, CA",earthquake,2.52,0.85,0.17,8,automatic,nc,nc
2019-11-21T17:49:25.470Z,19.194334,-155.4538269,34.8,2.11,md,32,204,0.06839,0.11,hv,hv71245646,2019-11-21T17:53:03.060Z,"3km ESE of Pahala, Hawaii",earthquake,0.83,0.74,0.16,4,automatic,hv,hv
2019-11-21T17:44:35.240Z,35.4353333,-120.5861664,14.01,1.68,md,9,113,0.06205,0.05,nc,nc73307081,2019-11-21T17:55:04.682Z,"6km NNE of Santa Margarita, CA",earthquake,1.57,2.5,0.17,3,automatic,nc,nc
2019-11-21T17:40:38.130Z,38.8323326,-122.8268356,12.29,0.37,md,12,124,0.009202,0.12,nc,nc73307076,2019-11-21T17:50:03.656Z,"9km NW of The Geysers, CA",earthquake,1.59,1.47,0.24,2,automatic,nc,nc
2019-11-21T17:37:11.940Z,35.7781667,-117.5981667,2.4,1.53,ml,21,126,0.0375,0.18,ci,ci39200256,2019-11-21T17:41:00.428Z,"18km W of Searles Valley, CA",earthquake,0.29,0.43,0.147,25,automatic,ci,ci
2019-11-21T17:36:55.871Z,-5.2888,103.5596,65.26,4.8,mb,,87,2.629,0.82,us,us70006b5m,2019-11-21T18:00:44.040Z,"36km SW of Kuripan, Indonesia",earthquake,10.7,9.2,0.09,38,reviewed,us,us
2019-11-21T17:27:25.656Z,61.2557,-141.3937,14.6,1.3,ml,,,,0.31,ak,ak019exry039,2019-11-21T17:30:51.511Z,"144km NNE of Cape Yakataga, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-11-21T17:16:54.880Z,35.8926667,-117.7133333,4.3,0.87,ml,15,65,0.07516,0.16,ci,ci39200088,2019-11-21T17:24:25.237Z,"18km ESE of Little Lake, CA",earthquake,0.28,0.87,0.169,11,reviewed,ci,ci
2019-11-21T17:08:55.330Z,38.7724991,-122.7330017,1.55,1.28,md,17,97,0.01111,0.03,nc,nc73307066,2019-11-21T17:40:04.529Z,"2km ESE of The Geysers, CA",earthquake,0.2,0.38,0.12,8,automatic,nc,nc
2019-11-21T17:05:25.640Z,35.6173333,-117.4461667,7.71,0.85,ml,21,77,0.03343,0.1,ci,ci39199896,2019-11-21T17:40:20.963Z,"17km SSW of Searles Valley, CA",earthquake,0.19,0.33,0.101,7,reviewed,ci,ci
